epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,467.915,1.78267,1.58333,0.95677,0.46651,0.4277,0.3996,0.18669,1.90986,1.80579,0.99996,0.000456863,0.000456863,0.000456863
43,478.627,1.74372,1.58064,0.96081,0.49942,0.46015,0.43533,0.20707,1.85295,1.76057,0.98937,0.00044925,0.00044925,0.00044925
44,489.185,1.70652,1.55825,0.95538,0.48547,0.46257,0.43885,0.21957,1.79328,1.70932,0.98164,0.000441637,0.000441637,0.000441637
45,499.894,1.81902,1.55628,0.97053,0.49455,0.47135,0.45578,0.22752,1.76608,1.69213,0.97641,0.000434024,0.000434024,0.000434024
46,510.538,1.76034,1.50894,0.95364,0.53015,0.47163,0.46408,0.23587,1.75799,1.70887,0.97342,0.000426411,0.000426411,0.000426411
47,521.513,1.81236,1.54892,0.95714,0.55031,0.47225,0.48639,0.25489,1.74105,1.6928,0.97003,0.000418797,0.000418797,0.000418797
48,532.299,1.80849,1.53924,0.94518,0.60506,0.44929,0.50237,0.26525,1.74727,1.664,0.96962,0.000411184,0.000411184,0.000411184
49,543.13,1.78055,1.55344,0.95592,0.58938,0.46202,0.50649,0.26662,1.79531,1.67128,0.97968,0.000403571,0.000403571,0.000403571
50,553.507,1.70272,1.45795,0.93729,0.57674,0.45178,0.50372,0.25503,1.82717,1.69856,0.98442,0.000395958,0.000395958,0.000395958
51,564.061,1.69261,1.42832,0.94365,0.57386,0.44062,0.50627,0.25341,1.80566,1.71457,0.97927,0.000388345,0.000388345,0.000388345
52,574.73,1.69018,1.41668,0.93091,0.55006,0.47662,0.50565,0.25419,1.77932,1.71592,0.97136,0.000380732,0.000380732,0.000380732
53,585.365,1.72866,1.41704,0.93652,0.54468,0.46794,0.49564,0.23553,1.88573,1.76113,0.98345,0.000373119,0.000373119,0.000373119
54,595.998,1.74875,1.4326,0.93661,0.5648,0.47614,0.48888,0.22784,1.92428,1.75197,0.98843,0.000365506,0.000365506,0.000365506
55,606.659,1.74315,1.4604,0.94042,0.59634,0.4523,0.49742,0.24122,1.85591,1.71054,0.97932,0.000357893,0.000357893,0.000357893
56,617.273,1.65989,1.38588,0.93478,0.61329,0.45605,0.50089,0.25307,1.74943,1.6362,0.96555,0.00035028,0.00035028,0.00035028
57,627.633,1.75712,1.44767,0.94825,0.64412,0.46554,0.51162,0.2602,1.70655,1.57053,0.96229,0.000342666,0.000342666,0.000342666
58,638.142,1.71047,1.40757,0.93246,0.64676,0.4738,0.51242,0.26026,1.71506,1.56241,0.96361,0.000335053,0.000335053,0.000335053
59,648.602,1.74374,1.36862,0.94597,0.65769,0.46718,0.51704,0.26097,1.71644,1.56542,0.95975,0.00032744,0.00032744,0.00032744
60,659.51,1.69588,1.3666,0.92695,0.65571,0.48309,0.50981,0.24541,1.78355,1.58406,0.9664,0.000319827,0.000319827,0.000319827
61,669.841,1.63421,1.31996,0.91681,0.66917,0.45816,0.50343,0.22545,1.95212,1.62338,0.99084,0.000312214,0.000312214,0.000312214
62,680.178,1.6811,1.35901,0.93274,0.64322,0.44944,0.49228,0.21667,2.05862,1.64456,1.00884,0.000304601,0.000304601,0.000304601
63,690.416,1.94717,1.4465,1.01355,0.65948,0.43698,0.49405,0.22014,2.0503,1.64957,1.00936,0.000296988,0.000296988,0.000296988
64,700.734,1.86433,1.39758,0.9867,0.64331,0.4611,0.50611,0.2402,1.92051,1.61546,0.98926,0.000289375,0.000289375,0.000289375
65,711.092,1.76849,1.36875,0.93866,0.64777,0.48071,0.51332,0.25921,1.74352,1.55923,0.96423,0.000281762,0.000281762,0.000281762
66,721.223,1.59826,1.30992,0.93457,0.6907,0.47481,0.5317,0.27562,1.66547,1.50513,0.95488,0.000274148,0.000274148,0.000274148
